MPID	Title	BrandorManufacturer	MPN	UPC	ISBN	MerchantSKU	ProductURL	Price	StockStatus	Description	ImageURL	Shipping	MerchantCategory	BingCategory	ShippingWeight	Condition	PricewithDiscount	DealStartDateTime	DealExpirationDateTime	Tax	bingads_grouping	bingads_label	bingads_publish	bingads_redirect	DealURL	Shipping
1141	Anti Slip - Shoes For Crews - Super Socks - Midcalf - Men's / Black (3 pair) Shoe Accessories	Shoes For Crews	1141			1141	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1141&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1141	9.98	In Stock	"A blend of cotton-nylon-Lycra® spandex that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1142	Non Slip - Shoes For Crews - Super Socks - Midcalf - Women's / White (3 pair) Shoe Accessorie	Shoes For Crews	1142			1142	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1142&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1142	9.98	In Stock	"A blend of cotton-nylon-Lycra® spandex that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1143	No Slip - Shoes For Crews - Super Socks - Midcalf - Women's / Black (3 pair) Shoe Accessories	Shoes For Crews	1143			1143	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1143&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1143	9.98	In Stock	"A blend of cotton-nylon-Lycra® spandex that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1144	No Slip - Shoes For Crews - Super Socks - Low Cut - Women's / White (3 pair) Shoe Accessories	Shoes For Crews	1144			1144	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1144&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1144	8.98	In Stock	"A blend of cotton-nylon-Lycra® spandex that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1145	Skid Resistant - Shoes For Crews - Super Socks - Low Cut - Women's / Black (3 pair) Shoe Acce	Shoes For Crews	1145			1145	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1145&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1145	8.98	In Stock	"A cotton-nylon-Lycra® blend that absorbs perspiration, allows feet to breathe and helps maintain shape. 3 pairs per package."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1149	Slip Proof - Shoes For Crews - Sof Sole® Work Crew Socks - Men's - White / Black / gra	Shoes For Crews	1149			1149	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1149&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1149	11.98	In Stock	"Premium work socks to go with your slip-resistant work shoes. Made of polyester blend with a Reinforced heel and toe. Moisture wicking helps keep your feet cool and comfortable. Three pairs per package; white, black, gray. One size fits men's sizes 8-12.5"	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	0	Shoe Accessories	Clothing & Shoes		New					shoes					
1201	Anti-Skid - Shoes For Crews - Senator - Black / Men's Dress Shoes	Shoes For Crews	1201			1201	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1201&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1201	79.98	In Stock	"Maintain a distinctive image without sacrificing safety. The Senator is our classic capped-toe oxford that features a removable leather-lined, cushioned insole, a padded collar and a steel shank for added support. Our patented SFC Mighty Grip® outsole provides superb traction and durability. Made from Italian leather."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	7.98	Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
1201W	Anti-Skid - Shoes For Crews - Senator - Black / Men's Dress Shoes	Shoes For Crews	1201W			1201W	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1201&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1201W	79.98	In Stock	"Maintain a distinctive image without sacrificing safety. The Senator is our classic capped-toe oxford that features a removable leather-lined, cushioned insole, a padded collar and a steel shank for added support. Our patented SFC Mighty Grip® outsole provides superb traction and durability. Made from Italian leather."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					"US:1025433:Express:17.80 USD,US:1014212::25.99 USD"
1202	No Slip - Shoes For Crews - Statesman - Black / Men's Dress Shoes	Shoes For Crews	1202			1202	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1202&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1202	79.98	In Stock	"A sophisticated slip-on designed for incredible comfort and traction. Clean seam detailing and dual elastic insets joined with our patented SFC Mighty Grip® outsole create this comfortable, attractive capped-toe style. A leather-lined interior, cushioned footboard, padded collar and steel shank provide all-day comfort. Crafted from Italian leather."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
1202W	No Slip - Shoes For Crews - Statesman - Black / Men's Dress Shoes	Shoes For Crews	1202W			1202W	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1202&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1202W	79.98	In Stock	"A sophisticated slip-on designed for incredible comfort and traction. Clean seam detailing and dual elastic insets joined with our patented SFC Mighty Grip® outsole create this comfortable, attractive capped-toe style. A leather-lined interior, cushioned footboard, padded collar and steel shank provide all-day comfort. Crafted from Italian leather."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
